Reference(s),Value,Footprint,
BT1,CR1220,Livrary:CR1220_SMD,
C1,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C2,10uF,Capacitor_SMD:CP_Elec_4x4.5,
C3,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C4,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C5,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C6,470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,
C7,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C8,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C9,470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,
C10,47uF,Capacitor_SMD:CP_Elec_4x4.5,
C11,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C12,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C13,220uF,Capacitor_SMD:CP_Elec_5x5.3,
C14,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C15,220uF,Capacitor_SMD:CP_Elec_5x5.3,
C16,47nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C17,10uF,Capacitor_SMD:CP_Elec_4x4.5,
C18,220uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,
C19,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D1,SR540,Diode_SMD:D_SMA,
D2,1N4004,Diode_SMD:D_SMA,
D3,PWR,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D4,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D5,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
J1,SD_Card,Livrary:TF_SDCard,
J2,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
J3,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
J8,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
J9,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
J10,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,
J11,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
J12,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
J13,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
J14,USB_B_Micro,Livrary:USB_Micro-B,
L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8,
R1,47K* - NOT REQUIRED,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R2,47K* - NOT REQUIRED,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R3,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R6,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R7,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R8,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R9,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R10,33K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R11,1K8,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R12,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R13,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R14,7K5,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R15,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R16,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R17,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R18,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R19,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R20,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R21,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
SW1,WAKE,Livrary:SW_PUSH_TS_1224W,
SW2,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5,
SW3,SEL,Livrary:SW_PUSH_TS_1224W,
SW4,SWITCH,Livrary:SW_MSK_01S,
SW5,SWITCH,Livrary:SPDT_Small,
SW6,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
SW7,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,
U2,WT32-SC01,Livrary:WS32-SC01-H,
U3,DW01x,Package_TO_SOT_SMD:TSOT-23-6,
U4,TP4056,Livrary:SOP-8_EP,
U5,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
U6,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
U7,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6,
U8,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
U9,TX,Livrary:TX50,
U10,DS1307Z+,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
Y1,32KHz,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2,
,,,
,,,
,,,
Collated Components:,,,
,,,
Qty,Reference(s),Value,Footprint
1,BT1,CR1220,Livrary:CR1220_SMD
6,"C1, C3, C4, C11, C14, C19",100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
2,"C2, C17",10uF,Capacitor_SMD:CP_Elec_4x4.5
6,"C5, C7, C8, C12,C13, C15",100uF,Capacitor_SMD:CP_Elec_5x5.3
3,"C6, C9,C18",470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E
1,C10,47uF,Capacitor_SMD:CP_Elec_4x4.5
1,C16,47nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,D1,SR540,Diode_SMD:D_SMA
1,D2,1N4004,Diode_SMD:D_SMA
1,D3,PWR,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,D4,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,D5,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,J1,SD_Card,Livrary:TF_SDCard
1,J2,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal
1,J3,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal
1,J8,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal
1,J9,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal
1,J10,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal
1,J11,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal
1,J12,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal
1,J13,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal
1,J14,USB_B_Micro,Livrary:USB_Micro-B
1,L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8
2,"R1, R2 - NOT REQUIRED",47K*,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
4,"R3, R12, R13, R19",47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
5,"R6, R7, R8, R16, R20",1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
2,"R9, R21",10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R10,33K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R11,1K8,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R14,7K5,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R15,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R17,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,R18,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1,SW1,WAKE,Livrary:SW_PUSH_TS_1224W
1,SW2,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5
1,SW3,SEL,Livrary:SW_PUSH_TS_1224W
1,SW4,SWITCH,Livrary:SW_MSK_01S
1,SW5,SWITCH,Livrary:SPDT_Small
1,SW6,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS
1,SW7,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS
1,U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm
1,U2,WT32-SC01,Livrary:WS32-SC01-H
1,U3,DW01x,Package_TO_SOT_SMD:TSOT-23-6
1,U4,TP4056,Livrary:SOP-8_EP
1,U5,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
1,U6,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm
1,U7,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6
1,U8,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
1,U9,TX,Livrary:TX50
1,U10,DS1307Z+,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
1,Y1,32KHz,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2
